donor,donation_full_name,event_name,institution,donorgroup,donation_type,amount_exact,amount_range_low,amount_range_high,amount_other,donation_date_start,donation_date_end,collection_date,data_source_name,data_source_url,donation_class,donation_list,event_date_title
Achelis Foundation,,In the Met's 2009-2010 fiscal year,The Metropolitan Museum of Art,Foundations and Trusts,p,,1000,,,2009-07-01,2010-06-30,2017-01-17,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Foundations and Trusts,2009-2010 Annual Report: Foundations,
Acorn Hill Foundation Inc.,,In the Met's 2009-2010 fiscal year,The Metropolitan Museum of Art,Foundations and Trusts,p,,1000,,,2009-07-01,2010-06-30,2017-01-17,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Foundations and Trusts,2009-2010 Annual Report: Foundations,
Hugh L. Adams Trust,,In the Met's 2009-2010 fiscal year,The Metropolitan Museum of Art,Foundations and Trusts,p,,1000,,,2009-07-01,2010-06-30,2017-01-17,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Foundations and Trusts,2009-2010 Annual Report: Foundations,
Allene Reuss Memorial Trust,,In the Met's 2009-2010 fiscal year,The Metropolitan Museum of Art,Foundations and Trusts,p,,1000,,,2009-07-01,2010-06-30,2017-01-17,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Foundations and Trusts,2009-2010 Annual Report: Foundations,
Altman Foundation,,In the Met's 2009-2010 fiscal year,The Metropolitan Museum of Art,Foundations and Trusts,p,,1000,,,2009-07-01,2010-06-30,2017-01-17,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Foundations and Trusts,2009-2010 Annual Report: Foundations,
The Annenberg Foundation,,In the Met's 2009-2010 fiscal year,The Metropolitan Museum of Art,Foundations and Trusts,p,,1000,,,2009-07-01,2010-06-30,2017-01-17,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Foundations and Trusts,2009-2010 Annual Report: Foundations,
The Anonimo Foundation,,In the Met's 2009-2010 fiscal year,The Metropolitan Museum of Art,Foundations and Trusts,p,,1000,,,2009-07-01,2010-06-30,2017-01-17,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Foundations and Trusts,2009-2010 Annual Report: Foundations,
The Aristotle Foundation,,In the Met's 2009-2010 fiscal year,The Metropolitan Museum of Art,Foundations and Trusts,p,,1000,,,2009-07-01,2010-06-30,2017-01-17,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Foundations and Trusts,2009-2010 Annual Report: Foundations,
Around Foundation,,In the Met's 2009-2010 fiscal year,The Metropolitan Museum of Art,Foundations and Trusts,p,,1000,,,2009-07-01,2010-06-30,2017-01-17,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Foundations and Trusts,2009-2010 Annual Report: Foundations,
The Atlantic Philanthropies,,In the Met's 2009-2010 fiscal year,The Metropolitan Museum of Art,Foundations and Trusts,p,,1000,,,2009-07-01,2010-06-30,2017-01-17,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Foundations and Trusts,2009-2010 Annual Report: Foundations,
"Milton & Sally Avery Arts Foundation, Inc.",,In the Met's 2009-2010 fiscal year,The Metropolitan Museum of Art,Foundations and Trusts,p,,1000,,,2009-07-01,2010-06-30,2017-01-17,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Foundations and Trusts,2009-2010 Annual Report: Foundations,
The Bahl Foundation,,In the Met's 2009-2010 fiscal year,The Metropolitan Museum of Art,Foundations and Trusts,p,,1000,,,2009-07-01,2010-06-30,2017-01-17,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Foundations and Trusts,2009-2010 Annual Report: Foundations,
"The Theodore H. Barth Foundation, Inc.",,In the Met's 2009-2010 fiscal year,The Metropolitan Museum of Art,Foundations and Trusts,p,,1000,,,2009-07-01,2010-06-30,2017-01-17,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Foundations and Trusts,2009-2010 Annual Report: Foundations,
The Howard Bayne Fund,,In the Met's 2009-2010 fiscal year,The Metropolitan Museum of Art,Foundations and Trusts,p,,1000,,,2009-07-01,2010-06-30,2017-01-17,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Foundations and Trusts,2009-2010 Annual Report: Foundations,
