donor,donation_full_name,event_name,institution,donorgroup,donation_type,amount_exact,amount_range_low,amount_range_high,amount_other,donation_date_start,donation_date_end,collection_date,data_source_name,data_source_url,donation_class,donation_list,event_date_title
Abrams,,,The Metropolitan Museum of Art,Contributors to the Museum: Corporate Patrons,u,,,,,2009-07-01,2010-06-30,2017-01-21,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Corporate Patrons,2009-2010 Annual Report: Corporate Patrons,In the Met's 2009-2010 fiscal year
Accenture,,,The Metropolitan Museum of Art,Contributors to the Museum: Corporate Patrons,u,,,,,2009-07-01,2010-06-30,2017-01-21,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Corporate Patrons,2009-2010 Annual Report: Corporate Patrons,In the Met's 2009-2010 fiscal year
"Aeropostale, Inc.",,,The Metropolitan Museum of Art,Contributors to the Museum: Corporate Patrons,u,,,,,2009-07-01,2010-06-30,2017-01-21,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Corporate Patrons,2009-2010 Annual Report: Corporate Patrons,In the Met's 2009-2010 fiscal year
American Express,,,The Metropolitan Museum of Art,Contributors to the Museum: Corporate Patrons,u,,,,,2009-07-01,2010-06-30,2017-01-21,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Corporate Patrons,2009-2010 Annual Report: Corporate Patrons,In the Met's 2009-2010 fiscal year
Company,,,The Metropolitan Museum of Art,Contributors to the Museum: Corporate Patrons,u,,,,,2009-07-01,2010-06-30,2017-01-21,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Corporate Patrons,2009-2010 Annual Report: Corporate Patrons,In the Met's 2009-2010 fiscal year
Amway Global,,,The Metropolitan Museum of Art,Contributors to the Museum: Corporate Patrons,u,,,,,2009-07-01,2010-06-30,2017-01-21,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Corporate Patrons,2009-2010 Annual Report: Corporate Patrons,In the Met's 2009-2010 fiscal year
Aon Corporation,,,The Metropolitan Museum of Art,Contributors to the Museum: Corporate Patrons,u,,,,,2009-07-01,2010-06-30,2017-01-21,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Corporate Patrons,2009-2010 Annual Report: Corporate Patrons,In the Met's 2009-2010 fiscal year
Arnhold & S. Bleichroeder,,,The Metropolitan Museum of Art,Contributors to the Museum: Corporate Patrons,u,,,,,2009-07-01,2010-06-30,2017-01-21,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Corporate Patrons,2009-2010 Annual Report: Corporate Patrons,In the Met's 2009-2010 fiscal year
"Holdings, Inc.",,,The Metropolitan Museum of Art,Contributors to the Museum: Corporate Patrons,u,,,,,2009-07-01,2010-06-30,2017-01-21,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Corporate Patrons,2009-2010 Annual Report: Corporate Patrons,In the Met's 2009-2010 fiscal year
AXA Foundation,,,The Metropolitan Museum of Art,Contributors to the Museum: Corporate Patrons,u,,,,,2009-07-01,2010-06-30,2017-01-21,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Corporate Patrons,2009-2010 Annual Report: Corporate Patrons,In the Met's 2009-2010 fiscal year
AXA Investment,,,The Metropolitan Museum of Art,Contributors to the Museum: Corporate Patrons,u,,,,,2009-07-01,2010-06-30,2017-01-21,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Corporate Patrons,2009-2010 Annual Report: Corporate Patrons,In the Met's 2009-2010 fiscal year
Management Private,,,The Metropolitan Museum of Art,Contributors to the Museum: Corporate Patrons,u,,,,,2009-07-01,2010-06-30,2017-01-21,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Corporate Patrons,2009-2010 Annual Report: Corporate Patrons,In the Met's 2009-2010 fiscal year
Equity Europe,,,The Metropolitan Museum of Art,Contributors to the Museum: Corporate Patrons,u,,,,,2009-07-01,2010-06-30,2017-01-21,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Corporate Patrons,2009-2010 Annual Report: Corporate Patrons,In the Met's 2009-2010 fiscal year
Barclays Capital,,,The Metropolitan Museum of Art,Contributors to the Museum: Corporate Patrons,u,,,,,2009-07-01,2010-06-30,2017-01-21,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Corporate Patrons,2009-2010 Annual Report: Corporate Patrons,In the Met's 2009-2010 fiscal year
"Bauerschmidt and Sons, Inc.",,,The Metropolitan Museum of Art,Contributors to the Museum: Corporate Patrons,u,,,,,2009-07-01,2010-06-30,2017-01-21,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Corporate Patrons,2009-2010 Annual Report: Corporate Patrons,In the Met's 2009-2010 fiscal year
Benjamin Moore & Co.,,,The Metropolitan Museum of Art,Contributors to the Museum: Corporate Patrons,u,,,,,2009-07-01,2010-06-30,2017-01-21,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Corporate Patrons,2009-2010 Annual Report: Corporate Patrons,In the Met's 2009-2010 fiscal year
Bingham McCutchen LLP,,,The Metropolitan Museum of Art,Contributors to the Museum: Corporate Patrons,u,,,,,2009-07-01,2010-06-30,2017-01-21,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Corporate Patrons,2009-2010 Annual Report: Corporate Patrons,In the Met's 2009-2010 fiscal year
The Bloomingdale’s,,,The Metropolitan Museum of Art,Contributors to the Museum: Corporate Patrons,u,,,,,2009-07-01,2010-06-30,2017-01-21,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Corporate Patrons,2009-2010 Annual Report: Corporate Patrons,In the Met's 2009-2010 fiscal year
Fund of the Macy’s,,,The Metropolitan Museum of Art,Contributors to the Museum: Corporate Patrons,u,,,,,2009-07-01,2010-06-30,2017-01-21,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Corporate Patrons,2009-2010 Annual Report: Corporate Patrons,In the Met's 2009-2010 fiscal year
